央视,#genre#
CCTV1	bosom,http://218.92.37.174:9901/tsfile/live/0001_1.m3u8?key=txiptv
CCTV2	bosom,http://218.92.37.174:9901/tsfile/live/0002_1.m3u8?key=txiptv
CCTV3	bosom,http://218.92.37.174:9901/tsfile/live/0003_1.m3u8?key=txiptv
CCTV4	bosom,http://218.92.37.174:9901/tsfile/live/0004_1.m3u8?key=txiptv
CCTV5	bosom,http://218.92.37.174:9901/tsfile/live/0005_1.m3u8?key=txiptv
CCTV6	bosom,http://218.92.37.174:9901/tsfile/live/0006_1.m3u8?key=txiptv
CCTV7	bosom,http://218.92.37.174:9901/tsfile/live/0007_1.m3u8?key=txiptv
CCTV8	bosom,http://218.92.37.174:9901/tsfile/live/0008_1.m3u8?key=txiptv
CCTV9	bosom,http://218.92.37.174:9901/tsfile/live/0009_1.m3u8?key=txiptv
CCTV10	bosom,http://218.92.37.174:9901/tsfile/live/0010_1.m3u8?key=txiptv
CCTV11	bosom,http://218.92.37.174:9901/tsfile/live/0011_1.m3u8?key=txiptv
CCTV12	bosom,http://218.92.37.174:9901/tsfile/live/0012_1.m3u8?key=txiptv
CCTV13	bosom,http://218.92.37.174:9901/tsfile/live/0013_1.m3u8?key=txiptv
CCTV14	bosom,http://218.92.37.174:9901/tsfile/live/0014_1.m3u8?key=txiptv
CCTV15	bosom,http://218.92.37.174:9901/tsfile/live/0015_1.m3u8?key=txiptv
CCTV1	bosom,http://117.172.164.225:8188/rtp/239.11.0.130:5140
CCTV1	bosom,http://183.220.20.17:4321/rtp/239.11.0.130:5140
CCTV1	bosom,http://183.220.20.17:4321/rtp/239.11.0.65:5140
CCTV2	bosom,http://117.172.164.225:8188/rtp/239.11.0.108:5140
CCTV2	bosom,http://183.220.20.17:4321/rtp/239.11.0.108:5140
CCTV3	bosom,http://117.172.164.225:8188/rtp/239.11.0.101:5140
CCTV3	bosom,http://183.220.20.17:4321/rtp/239.11.0.101:5140
CCTV4	bosom,http://117.172.164.225:8188/rtp/239.11.0.109:5140
CCTV4	bosom,http://183.220.20.17:4321/rtp/239.11.0.109:5140
CCTV5	bosom,http://117.172.164.225:8188/rtp/239.10.0.200:5140
CCTV5	bosom,http://117.172.164.225:8188/rtp/239.11.0.100:5140
CCTV5	bosom,http://117.172.164.225:8188/rtp/239.11.0.66:5140
CCTV5	bosom,http://183.220.20.17:4321/rtp/239.10.0.200:5140
CCTV5	bosom,http://183.220.20.17:4321/rtp/239.11.0.100:5140
CCTV5	bosom,http://183.220.20.17:4321/rtp/239.11.0.66:5140
CCTV5+	bosom,http://183.220.20.17:4321/rtp/239.11.0.241:5140
CCTV6	bosom,http://117.172.164.225:8188/rtp/239.11.0.102:5140
CCTV6	bosom,http://183.220.20.17:4321/rtp/239.11.0.102:5140
CCTV7	bosom,http://183.220.20.17:4321/rtp/239.11.0.110:5140
CCTV8	bosom,http://117.172.164.225:8188/rtp/239.11.0.103:5140
CCTV9	bosom,http://117.172.164.225:8188/rtp/239.11.0.111:5140
CCTV9	bosom,http://183.220.20.17:4321/rtp/239.11.0.111:5140
CCTV10	bosom,http://183.220.20.17:4321/rtp/239.11.0.112:5140
CCTV11	bosom,http://117.172.164.225:8188/rtp/239.11.0.22:5140
CCTV11	bosom,http://183.220.20.17:4321/rtp/239.11.0.22:5140
CCTV14	bosom,http://117.172.164.225:8188/rtp/239.11.0.114:5140
CCTV17	bosom,http://117.172.164.225:8188/rtp/239.11.0.107:5140
CCTV世界地理	bosom,http://117.172.164.225:8188/rtp/239.10.0.190:5140
CCTV世界地理	bosom,http://183.220.20.17:4321/rtp/239.10.0.190:5140
CCTV高网频道	bosom,http://117.172.164.225:8188/rtp/239.10.0.224:5140
CCTV高网频道	bosom,http://183.220.20.17:4321/rtp/239.10.0.164:5140
CCTV高网频道	bosom,http://183.220.20.17:4321/rtp/239.10.0.224:5140
CCTV1	bosom,http://foreveryyl.top:8001/rtp/239.49.8.19:9614
CCTV1	bosom,http://j1900.silicaite.com:58888/rtp/239.49.8.19:9614
CCTV1	bosom,http://j1900.silicaite.top:58888/rtp/239.49.8.19:9614
CCTV2	bosom,http://foreveryyl.top:8001/rtp/239.49.8.50:9802
CCTV2	bosom,http://j1900.silicaite.com:58888/rtp/239.49.8.50:9802
CCTV2	bosom,http://j1900.silicaite.top:58888/rtp/239.49.8.50:9802
CCTV3	bosom,http://foreveryyl.top:8001/rtp/239.49.8.74:8000
CCTV3	bosom,http://j1900.silicaite.com:58888/rtp/239.49.8.74:8000
CCTV3	bosom,http://j1900.silicaite.top:58888/rtp/239.49.8.74:8000
CCTV4	bosom,http://foreveryyl.top:8001/rtp/239.49.8.51:9806
CCTV4	bosom,http://j1900.silicaite.com:58888/rtp/239.49.8.51:9806
CCTV4	bosom,http://j1900.silicaite.top:58888/rtp/239.49.8.51:9806
CCTV5	bosom,http://foreveryyl.top:8001/rtp/239.49.8.75:8000
CCTV5	bosom,http://j1900.silicaite.com:58888/rtp/239.49.8.75:8000
CCTV5	bosom,http://j1900.silicaite.top:58888/rtp/239.49.8.75:8000
CCTV5+	bosom,http://foreveryyl.top:8001/rtp/239.49.8.18:9610
CCTV5+	bosom,http://j1900.silicaite.com:58888/rtp/239.49.8.18:9610
CCTV5+	bosom,http://j1900.silicaite.top:58888/rtp/239.49.8.18:9610
CCTV6	bosom,http://foreveryyl.top:8001/rtp/239.49.8.76:8000
CCTV6	bosom,http://j1900.silicaite.com:58888/rtp/239.49.8.76:8000
CCTV6	bosom,http://j1900.silicaite.top:58888/rtp/239.49.8.76:8000
CCTV7	bosom,http://foreveryyl.top:8001/rtp/239.49.8.126:8000
CCTV7	bosom,http://j1900.silicaite.com:58888/rtp/239.49.8.126:8000
CCTV7	bosom,http://j1900.silicaite.top:58888/rtp/239.49.8.126:8000
CCTV8	bosom,http://foreveryyl.top:8001/rtp/239.49.8.77:8000
CCTV8	bosom,http://j1900.silicaite.com:58888/rtp/239.49.8.77:8000
CCTV8	bosom,http://j1900.silicaite.top:58888/rtp/239.49.8.77:8000
CCTV9	bosom,http://foreveryyl.top:8001/rtp/239.49.8.53:9814
CCTV9	bosom,http://j1900.silicaite.com:58888/rtp/239.49.8.53:9814
CCTV9	bosom,http://j1900.silicaite.top:58888/rtp/239.49.8.53:9814
CCTV10	bosom,http://foreveryyl.top:8001/rtp/239.49.8.54:9818
CCTV10	bosom,http://j1900.silicaite.com:58888/rtp/239.49.8.54:9818
CCTV10	bosom,http://j1900.silicaite.top:58888/rtp/239.49.8.54:9818
CCTV11	bosom,http://foreveryyl.top:8001/rtp/239.49.0.11:8080
CCTV11	bosom,http://j1900.silicaite.com:58888/rtp/239.49.0.11:8080
CCTV11	bosom,http://j1900.silicaite.top:58888/rtp/239.49.0.11:8080
CCTV12	bosom,http://foreveryyl.top:8001/rtp/239.49.8.55:9822
CCTV12	bosom,http://j1900.silicaite.com:58888/rtp/239.49.8.55:9822
CCTV12	bosom,http://j1900.silicaite.top:58888/rtp/239.49.8.55:9822
CCTV13	bosom,http://foreveryyl.top:8001/rtp/239.49.0.13:8096
CCTV13	bosom,http://j1900.silicaite.com:58888/rtp/239.49.0.13:8096
CCTV13	bosom,http://j1900.silicaite.top:58888/rtp/239.49.0.13:8096
